case_id,subqa,language,language_label,category,record_or_component,english_triples,target_triples,aligned_english_text,target_text,comparison_or_context,automatic_risk,automatic_basis,automatic_signals
QA31-CA-dc59d1172745,QA3.1,ca,Catalan,CelestialBody,train/5triples/CelestialBody.xml::Id15::Id1,"(66063)_1998_RO1 | orbitalPeriod | 360.29 (days)
(66063)_1998_RO1 | periapsis | 41498400000.0
(66063)_1998_RO1 | epoch | 2013-11-04
(66063)_1998_RO1 | escapeVelocity | 0.0999 (kilometrePerSeconds)
(66063)_1998_RO1 | apoapsis | 254989570.60815 (kilometres)","(66063)_1998_RO1 | PeríodeOrbital | 360.29_(dies)
(66063)_1998_RO1 | Periàpside | 41498400000.0
(66063)_1998_RO1 | Època | 2013-11-04
(66063)_1998_RO1 | VelocitatD'escapament | 0.0999_(kilòmetrePer_Segons)
(66063)_1998_RO1 | Apoapsis | 254989570.60815_(kilòmetres)","(66063) 1998 RO1 which has an orbital period of 360.29 days and an escape velocity of 0.0999 km per sec, has the epoch date of 4 November 2013. The asteroid has a periapsis of 41498400000.0 and apoapsis of 254989570.60815 kilometres.","(66063) 1998 RO1, que té un període orbital de 360.29 dies i una velocitat d'escapament de 0.0999 km per segon, té la data d'època del 4 de novembre de 2013. L'asteroide té un periapsi de 41498400000.0 i apoapsis de 254989570.60815 quilòmetres.",Assess language identity and substantial English leakage; do not score general fluency or style here.,Low,The expected target language is confidently predicted and no hard flag is active.,"{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""ca"", ""target_language_probability"": 0.9341526627540588, ""valid_target_language"": true, ""wrong_language_detected"": false}"
QA12-CA-7aea6169cd26,QA1.2,ca,Catalan,entity_or_value,Banana_leaf,,,,,"Observed target forms and counts: {""fulla de banana"": 19}
Example mappings:
dev/2triples/Food.xml::Id5: Banana_leaf → fulla_de_banana
dev/4triples/Food.xml::Id3: Banana_leaf → fulla_de_banana
dev/4triples/Food.xml::Id4: Banana_leaf → fulla_de_banana
train/1triples/Food_allSolutions.xml::Id27: Banana_leaf → fulla_de_banana",Low,One normalised target form is observed for the recurring source component.,"{""dominant_mapping_rate"": 1.0, ""mapping_review_signal"": false, ""occurrences"": 19, ""target_form_count"": 1}"
QA21-ES-265b9063ad3b,QA2.1,es,Spanish,Athlete,train/4triples/Athlete.xml::Id69::Id1,"Alan_Martin_(footballer) | club | Accrington_Stanley_F.C.
Alan_Martin_(footballer) | birthDate | 1989-01-01
Alan_Martin_(footballer) | height | 185.42 (centimetres)
Alan_Martin_(footballer) | club | Crewe_Alexandra_F.C.","Alan_Martin_(futbolista) | Club | Accrington_Stanley_F.C
Alan_Martin_(futbolista) | FechaDeNacimiento | 01-01-1989
Alan_Martin_(futbolista) | Altura | 185,42_(centímetros)
Alan_Martin_(futbolista) | Club | Crewe_Alexandra_Football_Club",Alan Martin is 185.42 cm tall and was born on 1 January 1989. He currently plays for Crewe Alexandra FC and previously for Accrington Stanley FC.,"Alan Martin mide 185,42 cm y nació el 1 de enero de 1989. Actualmente juega en el Crewe Alexandra FC y anteriormente en el Accrington Stanley FC.",English lexicalisation ID: Id1; target lexicalisation ID: Id1,Low,No literal failure or lower-tail semantic review condition is present.,"{""below_10_percent"": [], ""below_1_percent"": [], ""below_5_percent"": [], ""predicate_similarity"": 0.7776387631893158, ""source_target_literal_preservation"": 1.0, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.9650197625160217, ""triple_similarity"": 0.9001365900039673}"
QA21-CA-6c5dfa93cd1a,QA2.1,ca,Catalan,WrittenWork,train/3triples/WrittenWork.xml::Id93::Id1,"A_Loyal_Character_Dancer | publisher | Soho_Press
A_Loyal_Character_Dancer | country | United_States
United_States | ethnicGroup | Asian_Americans","Una_ballarina_de_caràcter_lleial | Editor | Soho_Press
Una_ballarina_de_caràcter_lleial | País | Estats_Units_d'Amèrica
Estats_Units_d'Amèrica | GrupÈtnic | estatunidencs_asiàtics",A Loyal Character Dancer is published by Soho Press in the United States. The United States has an ethnic group called Asian Americans.,A Loyal Character Dancer és publicat per Soho Press als Estats Units. Els Estats Units tenen un grup ètnic anomenat asiàtics americans.,English lexicalisation ID: Id1; target lexicalisation ID: Id1,Low,No literal failure or lower-tail semantic review condition is present.,"{""below_10_percent"": [], ""below_1_percent"": [], ""below_5_percent"": [], ""predicate_similarity"": 0.7991031805674235, ""source_target_literal_preservation"": null, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.9853298664093018, ""triple_similarity"": 0.9387956261634827}"
QA21-ES-df0298760fa1,QA2.1,es,Spanish,Airport,train/1triples/Airport_allSolutions.xml::Id294::Id2,United_States_Air_Force | transportAircraft | Lockheed_C-130_Hercules,Fuerza_Aérea_de_los_Estados_Unidos | AvionesDeTransporte | Lockheed_C-130_Hercules,The transport aircraft for the United States Air Force is the Lockheed C-130 Hercules.,El avión de transporte de las Fuerzas Aéreas de Estados Unidos es el Lockheed C-130 Hercules.,English lexicalisation ID: Id2; target lexicalisation ID: Id2,Low,No literal failure or lower-tail semantic review condition is present.,"{""below_10_percent"": [], ""below_1_percent"": [], ""below_5_percent"": [], ""predicate_similarity"": 0.6766926050186157, ""source_target_literal_preservation"": 1.0, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.982836127281189, ""triple_similarity"": 0.962441623210907}"
QA22-CA-fee4a132e72c,QA2.2,ca,Catalan,Airport,train/2triples/Airport.xml::Id59::Id3,"Al_Asad_Airbase | location | Iraq
Al_Asad_Airbase | runwayLength | 3078.48","base_aèria_Al_Asad | Ubicació | Iraq
base_aèria_Al_Asad | LongitudDeLaPista | 3078.48","The runway length of Al Asad Airbase, located in Iraq, is 3078.48.","La longitud de la pista de la base aèria d'Al Asad, situada a l'Iraq, és de 3078,48.",Judge the target text only against the target triples; the English pair is supplied as alignment context.,Low,Coverage and groundedness pass; no target literal failure is observed.,"{""coverage_pass"": true, ""groundedness_pass"": true, ""minimum_text_groundedness"": 0.6864490509033203, ""minimum_triple_coverage"": 0.6619080305099487, ""target_text_literal_retention"": 1.0}"
QA12-ES-567e8ba72a2f,QA1.2,es,Spanish,entity_or_value,Squid,,,,,"Observed target forms and counts: {""calamar"": 6, ""teuthida"": 1}
Example mappings:
dev/1triples/Food_allSolutions.xml::Id7: Squid → calamar
dev/2triples/Food.xml::Id9: Squid → Teuthida
dev/3triples/Food.xml::Id8: Squid → calamar
train/2triples/Food.xml::Id58: Squid → calamar",High,Multiple target forms are observed and the dominant form accounts for less than 90% of mappings.,"{""dominant_mapping_rate"": 0.8571428571428571, ""mapping_review_signal"": true, ""occurrences"": 7, ""target_form_count"": 2}"
QA22-CA-30b349f46c72,QA2.2,ca,Catalan,Food,dev/3triples/Food.xml::Id34::Id1,"Celery | genus | Apium
Bakso | ingredient | Celery
Celery | family | Apiaceae","Celeriac | Gènere | Apium
Bakso | Ingredient | Celeriac
Celeriac | Família | Apiaceae","One ingredient in Bakso is celery, which is a member of the genus Apium in the family Apiaceae.","Un dels ingredients del Bakso és l'api, que és un membre del gènere Apium de la família Apiaceae.",Judge the target text only against the target triples; the English pair is supplied as alignment context.,High,both English-calibrated support directions fail.,"{""coverage_pass"": false, ""groundedness_pass"": false, ""minimum_text_groundedness"": 0.4188469648361206, ""minimum_triple_coverage"": 0.1381310224533081, ""target_text_literal_retention"": null}"
QA12-ES-09e788a345fb,QA1.2,es,Spanish,entity_or_value,Psychedelic_folk,,,,,"Observed target forms and counts: {""acid folk"": 7}
Example mappings:
train/1triples/Artist_allSolutions.xml::Id146: Psychedelic_folk → Acid_folk
train/2triples/Artist.xml::Id158: Psychedelic_folk → Acid_folk
train/2triples/Artist.xml::Id159: Psychedelic_folk → Acid_folk
train/3triples/Artist.xml::Id145: Psychedelic_folk → Acid_folk",Low,One normalised target form is observed for the recurring source component.,"{""dominant_mapping_rate"": 1.0, ""mapping_review_signal"": false, ""occurrences"": 7, ""target_form_count"": 1}"
QA22-CA-19f89486e0d8,QA2.2,ca,Catalan,WrittenWork,train/2triples/WrittenWork.xml::Id142::Id3,"Administrative_Science_Quarterly | LCCN_number | 57059226
Administrative_Science_Quarterly | abbreviation | ""Admin. Sci. Q.""","Ciències_administratives_trimestralment | NúmeroLCCN | 57059226
Ciències_administratives_trimestralment | Abreviació | Administració._Ciència._Q.",Admin. Sci. Q is the abbreviation for the Administrative Science Quarterly which has the LCCN number of 57059226.,Admin. Sci. Q és l' abreviatura de l' Administrative Science Quarterly que té el número LCCN de 57059226.,Judge the target text only against the target triples; the English pair is supplied as alignment context.,Medium,One English-calibrated support direction fails.,"{""coverage_pass"": true, ""groundedness_pass"": false, ""minimum_text_groundedness"": 0.43263334035873413, ""minimum_triple_coverage"": 0.6829333305358887, ""target_text_literal_retention"": 1.0}"
QA12-ES-83585a01e35c,QA1.2,es,Spanish,entity_or_value,Rhythm_and_blues,,,,,"Observed target forms and counts: {""rhythm and blues"": 256, ""ritmo y blues"": 2}
Example mappings:
dev/2triples/Artist.xml::Id10: Rhythm_and_blues → rhythm_and_blues
dev/2triples/Artist.xml::Id21: Rhythm_and_blues → rhythm_and_blues
dev/3triples/Artist.xml::Id18: Rhythm_and_blues → rhythm_and_blues
dev/3triples/Artist.xml::Id19: Rhythm_and_blues → rhythm_and_blues",Medium,"Multiple target forms are observed, but one form remains strongly dominant.","{""dominant_mapping_rate"": 0.9922480620155039, ""mapping_review_signal"": true, ""occurrences"": 258, ""target_form_count"": 2}"
QA21-ES-9947dd19f128,QA2.1,es,Spanish,WrittenWork,train/2triples/WrittenWork.xml::Id22::Id1,"1634:_The_Ram_Rebellion | author | Eric_Flint
1634:_The_Ram_Rebellion | mediaType | ""Print""","1634:_Rebelión_de_los_Carneros | Autor | Eric_Flint
1634:_Rebelión_de_los_Carneros | TipoDeMedio | Print",1634: The Ram Rebellion was written by Eric Flint and published in print.,1634: La Rebelión de los Carneros fue escrito por Eric Flint y publicado en la imprenta.,English lexicalisation ID: Id1; target lexicalisation ID: Id1,Medium,at least one semantic score is in the lowest 10%.,"{""below_10_percent"": [""text_similarity"", ""triple_similarity"", ""predicate_similarity""], ""below_1_percent"": [], ""below_5_percent"": [""triple_similarity""], ""predicate_similarity"": 0.5590420290827751, ""source_target_literal_preservation"": 1.0, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.8774937987327576, ""triple_similarity"": 0.7683788537979126}"
QA21-ES-8f5ce19027b0,QA2.1,es,Spanish,Food,train/1triples/Food_allSolutions.xml::Id103::Id3,"Bakso | mainIngredient | ""Ground beef, tapioca, noodle, rice vermicelli, beef broth, kailan, celery, salted vegetables, fried shallots""","Bakso | IngredientePrincipal | Carne_picada,_tapioca,_fideos,_fideos_de_arroz,_caldo_de_carne,_kailan,_apio,_verduras_saladas,_chalotas_fritas","Ground beef, tapioca, noodle, rice vermicelli, beef broth, kailan, celery, salted vegetables, and fried shallots are main ingredients in Bakso.","Carne picada, tapioca, fideos, fideos de arroz, caldo de carne, kailan, apio, verduras saladas y chalotas fritas son los principales ingredientes del Bakso.",English lexicalisation ID: Id3; target lexicalisation ID: Id3,High,a semantic score is in the lowest 1%.,"{""below_10_percent"": [""text_similarity"", ""predicate_similarity""], ""below_1_percent"": [""predicate_similarity""], ""below_5_percent"": [""predicate_similarity""], ""predicate_similarity"": 0.27265438437461853, ""source_target_literal_preservation"": null, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.8558606505393982, ""triple_similarity"": 0.8964120149612427}"
QA22-ES-81a8614089d8,QA2.2,es,Spanish,Astronaut,train/2triples/Astronaut.xml::Id39::Id2,"William_Anders | birthDate | ""1933-10-17""
William_Anders | almaMater | ""AFIT, M.S. 1962""","William_Anders | FechaDeNacimiento | 17-10-1933
William_Anders | AlmaMáter | AFIT,_M.S._1962","William Anders, who was born on the 17th of October 1933, graduated from AFIT, M.S. in 1962.","William Anders, nacido el 17 de octubre de 1933, se licenció en AFIT en 1962.",Judge the target text only against the target triples; the English pair is supplied as alignment context.,High,both English-calibrated support directions fail.,"{""coverage_pass"": false, ""groundedness_pass"": false, ""minimum_text_groundedness"": 0.4541550874710083, ""minimum_triple_coverage"": 0.36348897218704224, ""target_text_literal_retention"": 1.0}"
QA12-CA-cbaa036e43d0,QA1.2,ca,Catalan,entity_or_value,"Cyrus_Vance,_Jr.",,,,,"Observed target forms and counts: {""cyrus vance, jr."": 6}
Example mappings:
train/1triples/Building_allSolutions.xml::Id201: Cyrus_Vance,_Jr. → Cyrus_Vance,_Jr.
train/2triples/Building.xml::Id153: Cyrus_Vance,_Jr. → Cyrus_Vance,_Jr.
train/4triples/Building.xml::Id165: Cyrus_Vance,_Jr. → Cyrus_Vance,_Jr.
train/5triples/Building.xml::Id117: Cyrus_Vance,_Jr. → Cyrus_Vance,_Jr.",Low,One normalised target form is observed for the recurring source component.,"{""dominant_mapping_rate"": 1.0, ""mapping_review_signal"": false, ""occurrences"": 6, ""target_form_count"": 1}"
QA22-CA-75a1e646925f,QA2.2,ca,Catalan,ComicsCharacter,train/2triples/ComicsCharacter.xml::Id53::Id1,"Black_Pirate | creator | Sheldon_Moldoff
Sheldon_Moldoff | award | Inkpot_Award","Pirata_negre | Creador | Sheldon_Moldoff
Sheldon_Moldoff | Premi | Premi_Inkpot",Sheldon Moldoff created the Black Pirate and won the Inkpot Award.,Sheldon Moldoff va crear el Pirata Negre i va guanyar el Premi Inkpot.,Judge the target text only against the target triples; the English pair is supplied as alignment context.,Low,Coverage and groundedness pass; no target literal failure is observed.,"{""coverage_pass"": true, ""groundedness_pass"": true, ""minimum_text_groundedness"": 0.6563592553138733, ""minimum_triple_coverage"": 0.5790374279022217, ""target_text_literal_retention"": null}"
QA22-CA-a43f235e3b5c,QA2.2,ca,Catalan,WrittenWork,train/3triples/WrittenWork.xml::Id208::Id1,"United_States | ethnicGroup | African_Americans
United_States | capital | Washington,_D.C.
A_Wizard_of_Mars | country | United_States","Estats_Units_d'Amèrica | GrupÈtnic | negres_estatunidencs
Estats_Units_d'Amèrica | Capital | Washington_DC
Un_mag_de_Mart | País | Estats_Units_d'Amèrica","One of the ethnic Groups of the United States (where the capital city is Washington D.C) is African American. Additionally, A Wizard of Mars originates from the United States.","Un dels grups ètnics dels Estats Units (on la capital és Washington D. C.) és afroamericà. A més, A Wizard of Mars s'origina als Estats Units.",Judge the target text only against the target triples; the English pair is supplied as alignment context.,Low,Coverage and groundedness pass; no target literal failure is observed.,"{""coverage_pass"": true, ""groundedness_pass"": true, ""minimum_text_groundedness"": 0.6524162292480469, ""minimum_triple_coverage"": 0.5197257399559021, ""target_text_literal_retention"": null}"
QA12-CA-21330509c105,QA1.2,ca,Catalan,entity_or_value,Superleague_Greece,,,,,"Observed target forms and counts: {""superleague greece"": 30}
Example mappings:
dev/3triples/SportsTeam.xml::Id12: Superleague_Greece → Superleague_Greece
dev/5triples/SportsTeam.xml::Id2: Superleague_Greece → Superleague_Greece
train/1triples/SportsTeam_allSolutions.xml::Id88: Superleague_Greece → Superleague_Greece
train/1triples/SportsTeam_allSolutions.xml::Id251: Superleague_Greece → Superleague_Greece",Low,One normalised target form is observed for the recurring source component.,"{""dominant_mapping_rate"": 1.0, ""mapping_review_signal"": false, ""occurrences"": 30, ""target_form_count"": 1}"
QA21-CA-43de0c41c330,QA2.1,ca,Catalan,University,train/4triples/University.xml::Id63::Id3,"School of Business and Social Sciences at the Aarhus University | affiliation | European_University_Association
School of Business and Social Sciences at the Aarhus University | city | Aarhus
European_University_Association | headquarter | Brussels
School of Business and Social Sciences at the Aarhus University | established | 1928","Escola_d'Empreses_i_Ciències_Socials_de_la_Universitat_d'Aarhus | Afiliació | Associació_d'Universitats_Europees
Escola_d'Empreses_i_Ciències_Socials_de_la_Universitat_d'Aarhus | Ciutat | Aarhus
Associació_d'Universitats_Europees | QuarterGeneral | Brussel·les
Escola_d'Empreses_i_Ciències_Socials_de_la_Universitat_d'Aarhus | Establert | 1928",The School of Business and Social Sciences at the Aarhus University (established 1928 in the city of Aarhus) is affiliated with the European University Association which has its headquarters in Brussels.,L'Escola de Negocis i Ciències Socials de la Universitat d'Aarhus (establerta el 1928 a la ciutat d'Aarhus) està afiliada a l'Associació Universitària Europea que té la seva seu a Brussel·les.,English lexicalisation ID: Id3; target lexicalisation ID: Id3,High,a semantic score is in the lowest 1%.,"{""below_10_percent"": [""text_similarity""], ""below_1_percent"": [""text_similarity""], ""below_5_percent"": [""text_similarity""], ""predicate_similarity"": 0.769523873925209, ""source_target_literal_preservation"": 1.0, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.7044742703437805, ""triple_similarity"": 0.8597556352615356}"
QA31-ES-4c58f83b9662,QA3.1,es,Spanish,WrittenWork,train/4triples/WrittenWork.xml::Id113::Id1,"Alcatraz_Versus_the_Evil_Librarians | numberOfPages | ""320""
Alcatraz_Versus_the_Evil_Librarians | oclcNumber | 78771100
Alcatraz_Versus_the_Evil_Librarians | mediaType | ""Print""
Alcatraz_Versus_the_Evil_Librarians | isbnNumber | ""0-439-92550-9""","Alcatraz_Contra_los_Bibliotecarios_Malvados | NúmeroDePáginas | 320
Alcatraz_Contra_los_Bibliotecarios_Malvados | NúmeroOclc | 78771100
Alcatraz_Contra_los_Bibliotecarios_Malvados | TipoDeMedio | Print
Alcatraz_Contra_los_Bibliotecarios_Malvados | NúmeroIsbn | 0-439-92550-9",Alcatraz Versus the Evil Librarians has 320 pages and is produced in print. The book has an OCLC number of 78771100 and the ISBN number of 0-439-92550-9.,Alcatraz Versus the Evil Librarians tiene 320 páginas y está en imprenta. El libro tiene un número OCLC de 78771100 y el número ISBN de 0-439-92550-9.,Assess language identity and substantial English leakage; do not score general fluency or style here.,Low,The expected target language is confidently predicted and no hard flag is active.,"{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""es"", ""target_language_probability"": 0.8625530004501343, ""valid_target_language"": true, ""wrong_language_detected"": false}"
QA32-ES-be102beb7aec,QA3.2,es,Spanish,Artist,train/2triples/Artist.xml::Id111::Id1,"Aleksandra_Kovač | genre | Pop_music
Pop_music | musicFusionGenre | Disco","Aleksandra_Kovač | Género | pop
pop | GéneroMusicalFusión | música_disco",Disco is a genre of music that contain elements of other genres such as pop music which is the musical genre of Aleksandra Kovac.,"La música música disco es un género musical que contiene elementos de otros géneros, como la música pop, que es el género musical de Aleksandra Kovac.","Different English reference from the same RDF entry:
Aleksandra Kovac is a pop music performer and Disco is a fusion genre of pop music.",Medium,"The aligned-reference advantage is non-positive/unavailable, or the expansion ratio is outside the central 90% range.","{""aligned_reference_advantage"": -0.02432119846343994, ""aligned_reference_eligible"": true, ""aligned_reference_similarity"": 0.7732123732566833, ""comparison_reference_similarity"": 0.7975335717201233, ""expansion_ratio"": 1.0833333333333333, ""extreme_advantage"": false, ""extreme_expansion"": false, ""unusual_expansion"": false}"
QA12-CA-b92b0cda3f40,QA1.2,ca,Catalan,entity_or_value,Peanut_sauce,,,,,"Observed target forms and counts: {""salsa de cacauet"": 22}
Example mappings:
dev/2triples/Food.xml::Id35: Peanut_sauce → Salsa_de_cacauet
dev/4triples/Food.xml::Id22: Peanut_sauce → Salsa_de_cacauet
train/1triples/Food_allSolutions.xml::Id129: Peanut_sauce → Salsa_de_cacauet
train/2triples/Food.xml::Id179: Peanut_sauce → Salsa_de_cacauet",Low,One normalised target form is observed for the recurring source component.,"{""dominant_mapping_rate"": 1.0, ""mapping_review_signal"": false, ""occurrences"": 22, ""target_form_count"": 1}"
QA11-CA-39a950c66fec,QA1.1,ca,Catalan,SportsTeam,train/3triples/SportsTeam.xml::Id96,"ACF_Fiorentina | manager | Paulo_Sousa
Paulo_Sousa | club | Maccabi_Tel_Aviv_F.C.
Paulo_Sousa | club | Portugal_national_football_team","ACF_Fiorentina | Gerent | Paulo_Manuel_Carvalho_Sousa
Paulo_Manuel_Carvalho_Sousa | Trèvols | Maccabi_Tel_Aviv_FC
Paulo_Manuel_Carvalho_Sousa | Trèvols | Selecció_de_futbol_de_Portugal",Paulo Sousa is the manager of the ACF Fiorentina. He plays for Maccabi Tel Aviv F.C. and is also a member of the Portugal National Football Team.,Paulo Sousa és l'entrenador de l'ACF Fiorentina. Juga per al Maccabi Tel Aviv F.C. i també és membre de l'Equip Nacional de Futbol de Portugal.,"Expected triples: 3; English IDs: Id1
Id2
Id3; Target IDs: Id1
Id2
Id3; Target lexicalisations in entry: Paulo Sousa és l'entrenador de l'ACF Fiorentina. Juga per al Maccabi Tel Aviv F.C. i també és membre de l'Equip Nacional de Futbol de Portugal.
L'entrenador de l'ACF Fiorentina és Paulo Sousa que juga pel Maccabi Tel Aviv FC i també per la selecció nacional de futbol de Portugal.
Paulo Sousa és l'entrenador de l'ACF Fiorentina. Ha jugat amb el Maccabi Tel Aviv F.C. i és membre de l'equip nacional de futbol de Portugal.",Low,All five structural conditions pass.,"{""lexicalisation_id_alignment"": true, ""lexicalisation_id_unique"": true, ""target_rdf_well_formed"": true, ""target_text_present"": true, ""target_triple_parity"": true}"
QA21-ES-62579ea751ce,QA2.1,es,Spanish,Airport,train/1triples/Airport_allSolutions.xml::Id85::Id3,"Alderney_Airport | runwayName | ""03/21""",Aeropuerto_de_Alderney | NombreDeLaPista | 03/21,The runway at Alderney Airport is named 03/21.,La pista del aeropuerto de Alderney se llama 03/21.,English lexicalisation ID: Id3; target lexicalisation ID: Id3,Medium,at least one semantic score is in the lowest 10%.,"{""below_10_percent"": [""predicate_similarity""], ""below_1_percent"": [], ""below_5_percent"": [""predicate_similarity""], ""predicate_similarity"": 0.31741419434547424, ""source_target_literal_preservation"": 1.0, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.9425885677337646, ""triple_similarity"": 0.8840131759643555}"
QA31-ES-06f830bd3f22,QA3.1,es,Spanish,Artist,train/1triples/Artist_allSolutions.xml::Id12::Id1,Aaron_Deer | instrument | Guitar,Aaron_Deer | Instrumento | guitarra,Aaron Deer plays the guitar.,Aaron Deer toca la guitarra.,Assess language identity and substantial English leakage; do not score general fluency or style here.,Medium,"The expected language does not reach the confidence-based valid-language decision, but no hard flag is active.","{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""ca"", ""target_language_probability"": 0.3640837073326111, ""valid_target_language"": false, ""wrong_language_detected"": false}"
QA11-ES-5378a2ffc2ff,QA1.1,es,Spanish,Food,train/2triples/Food.xml::Id268,"Singapore | leader | Halimah_Yacob
Ayam_penyet | region | Singapore","Singapur | Líder | Halimah_Yacob
Ayam_penyet | Región | Singapur",Ayam penyet is from Singapore whose leader is Halimah Yacob.,Ayam penyet es de Singapur y su líder es Halimah Yacob.,"Expected triples: 2; English IDs: Id1
Id2
Id3; Target IDs: Id1
Id2
Id3; Target lexicalisations in entry: Ayam penyet es de Singapur y su líder es Halimah Yacob.
Ayam penyet es de la región de Singapur, donde Halimah Yacob es dirigente.
Ayam penyet es de Singapur, donde Halimah Yacob es la líder.",Low,All five structural conditions pass.,"{""lexicalisation_id_alignment"": true, ""lexicalisation_id_unique"": true, ""target_rdf_well_formed"": true, ""target_text_present"": true, ""target_triple_parity"": true}"
QA21-CA-e2cc731b451f,QA2.1,ca,Catalan,SportsTeam,train/2triples/SportsTeam.xml::Id125::Id3,"AZAL_PFK | ground | AZAL_Arena
AZAL_Arena | location | Azerbaijan","AZAL_PFK | Terra | AZAL_Arena
AZAL_Arena | Ubicació | Azerbaidjan",AZAL PFK play their home matches at the AZAL Arena in Azerbaijan.,L'AZAL PFK juga els seus partits a casa a l'AZAL Arena d'Azerbaidjan.,English lexicalisation ID: Id3; target lexicalisation ID: Id3,Low,No literal failure or lower-tail semantic review condition is present.,"{""below_10_percent"": [], ""below_1_percent"": [], ""below_5_percent"": [], ""predicate_similarity"": 0.8604213297367096, ""source_target_literal_preservation"": null, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.9641876220703125, ""triple_similarity"": 0.9589996337890625}"
QA32-ES-d88fab1a3cff,QA3.2,es,Spanish,Politician,dev/2triples/Politician.xml::Id15::Id2,"Adam_Koc | battle | World_War_I
Adam_Koc | award | Virtuti_Militari","Adam_Koc | Batalla | Primera_Guerra_Mundial
Adam_Koc | Premio | Orden_Virtuti_Militari",Adam Koc fought in WWI and he was awarded the Virtuti Militari award.,Adam Koc luchó en la Primera Guerra Mundial y fue condecorado con la Virtuti Militari.,"Different English reference from the same RDF entry:
Adam Koc, who won the Virtuti Militari award, fought in World War I.",High,"The aligned-reference advantage is in the extreme lower tail, or a non-positive advantage coincides with extreme length variation.","{""aligned_reference_advantage"": -0.11177128553390503, ""aligned_reference_eligible"": true, ""aligned_reference_similarity"": 0.8002333641052246, ""comparison_reference_similarity"": 0.9120046496391296, ""expansion_ratio"": 1.1538461538461537, ""extreme_advantage"": true, ""extreme_expansion"": false, ""unusual_expansion"": false}"
QA21-CA-7bb273d75e98,QA2.1,ca,Catalan,Building,train/2triples/Building.xml::Id106::Id1,"Akita_Museum_of_Art | location | Akita,_Akita
Akita,_Akita | country | Japan","Museu_d'Art_d'Akita | Ubicació | Akita,_Akita
Akita,_Akita | País | Japó","The Akita Museum of Art is in Akita, Akita Japan.","El Museu d'Art d'Akita es troba a Akita, Akita Japó.",English lexicalisation ID: Id1; target lexicalisation ID: Id1,Low,No literal failure or lower-tail semantic review condition is present.,"{""below_10_percent"": [], ""below_1_percent"": [], ""below_5_percent"": [], ""predicate_similarity"": 0.9628920555114746, ""source_target_literal_preservation"": null, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.9904923439025879, ""triple_similarity"": 0.9720172882080078}"
QA11-CA-db9f26bc09ee,QA1.1,ca,Catalan,Food,train/4triples/Food.xml::Id164,"Bandeja_paisa | ingredient | Lemon
Lemon | family | Rutaceae
Bandeja_paisa | country | Colombian_cuisine
Bandeja_paisa | region | Antioquia_Department","bandeja_paisa | Ingredient | Limó
Limó | Família | rutàcies
bandeja_paisa | País | gastronomia_de_Colòmbia
bandeja_paisa | Regió | Departament_d'Antioquia","Lemons (part of the rutaceae family.) are an ingredient in Bandeja paisa, a dish from the Antioquia Department in Colombia.","Les llimones (part de la família Rutaceae) són un ingredient de la Bandeja paisa, un plat del departament d'Antioquia a Colòmbia.","Expected triples: 4; English IDs: Id1
Id2
Id3; Target IDs: Id1
Id2
Id3; Target lexicalisations in entry: Les llimones (part de la família Rutaceae) són un ingredient de la Bandeja paisa, un plat del departament d'Antioquia a Colòmbia.
La bandeja paisa prové de la regió d'Antioquia de Colòmbia. Un dels seus ingredients és la llimona, que pertany a la família de les rutàcies.
La llimona (part de la família de les rutàcies), és un ingredient de la bandeja paisa, un plat típic colombià del departament d'Antioquia.",Low,All five structural conditions pass.,"{""lexicalisation_id_alignment"": true, ""lexicalisation_id_unique"": true, ""target_rdf_well_formed"": true, ""target_text_present"": true, ""target_triple_parity"": true}"
QA32-CA-693d127b4265,QA3.2,ca,Catalan,Film,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id670::Id1,Michael_Rooker | birthYear | 1955-01-01,Michael_Rooker | AnyDeNaixement | 1955-01-01,Michael Rooker was born in the year 1955.,Michael Rooker va néixer l'any 1955.,"Different English reference from the same RDF entry:
Michael Rooker was born in 1955.",High,"The aligned-reference advantage is in the extreme lower tail, or a non-positive advantage coincides with extreme length variation.","{""aligned_reference_advantage"": -0.004479646682739258, ""aligned_reference_eligible"": true, ""aligned_reference_similarity"": 0.9899770617485046, ""comparison_reference_similarity"": 0.9944567084312439, ""expansion_ratio"": 0.75, ""extreme_advantage"": false, ""extreme_expansion"": true, ""unusual_expansion"": true}"
